Time_ms,add1,load1,nop1,udiv1
0,0.19579,0.18746,0.22149,0.23734
1,0.38644,0.38121,0.4461699999999999,0.46409999999999996
2,0.58977,0.57617,0.6729799999999999,0.69192
3,0.78778,0.76687,0.8997899999999999,0.92097
4,0.98908,0.95757,1.12879,1.1573099999999998
5,1.18719,1.15578,1.36518,1.38939
6,1.38535,1.34866,1.60051,1.6213499999999998
7,1.5899,1.54677,1.83584,1.8544399999999999
8,1.79212,1.7428,2.0647800000000003,2.08013
9,1.99337,1.93873,2.2884,2.30907
10,2.20203,2.13151,2.51616,2.53269
11,2.40004,2.32425,2.74712,2.75849
12,2.60033,2.52018,2.97819,2.9831700000000003
13,2.80255,2.71616,3.20276,3.2078500000000005
14,3.00371,2.90996,3.43159,3.4016500000000005
15,3.20501,3.10478,3.63173,3.5955500000000007
16,3.40317,3.29868,3.82776,3.7904200000000006
17,3.60544,3.49035,4.02592,3.9843200000000007
18,3.80568,3.68309,4.22824,4.186590000000001
19,4.008,3.87796,4.431520000000001,4.387840000000001
20,4.20804,4.07283,4.635870000000001,4.589090000000001
21,4.40808,4.26983,4.84027,4.78497
22,4.60938,4.46687,5.04244,4.98521
23,4.80855,4.6628,5.24689,5.18332
24,5.00768,4.85873,5.44814,5.38143
25,5.21005,5.0536,5.652489999999999,5.58491
26,5.41242,5.24624,5.85263,5.78616
27,5.60622,5.45069,6.05287,5.99066
28,5.81194,5.65098,6.257319999999999,6.19191
29,6.01532,5.85649,6.457509999999999,6.3921
30,6.21759,6.05987,6.657699999999999,6.59326
31,6.41986,6.26325,6.85678,6.79553
32,6.62213,6.4677,7.06113,6.9956700000000005
33,6.82445,6.67215,7.259289999999999,7.195860000000001
34,7.02783,6.87432,7.460639999999999,7.40026
35,7.22908,7.07983,7.663059999999999,7.59827
36,7.42729,7.28428,7.8622299999999985,7.8006400000000005
37,7.62854,7.48868,8.057189999999999,8.00073
38,7.82863,7.69313,8.262809999999998,8.20194
39,8.03201,7.90184,8.468269999999999,8.40315
40,8.23646,8.11045,8.671649999999998,8.60552
41,8.43665,8.31069,8.873969999999998,8.805760000000001
42,8.63679,8.5195,9.074109999999996,9.006000000000002
43,8.84134,8.72283,9.276429999999998,9.209480000000003
44,9.04371,8.92718,9.477729999999998,9.411900000000003
45,9.25242,9.13584,9.678939999999995,9.614270000000003
46,9.45271,9.33922,9.878109999999998,9.817600000000002
47,9.65406,9.54484,10.083669999999998,10.018950000000002
48,9.85739,9.74929,10.289179999999998,10.215800000000002
49,10.06184,9.95374,10.493629999999998,10.420200000000001
50,10.26522,10.15495,10.698229999999995,10.619280000000002
51,10.4686,10.36376,10.900499999999996,10.818450000000002
52,10.67411,10.57343,11.102819999999998,11.017580000000002
53,10.88069,10.78102,11.305139999999998,11.218880000000002
54,11.08083,10.98765,11.509489999999998,11.420180000000002
55,11.28741,11.19316,11.712819999999995,11.618190000000002
56,11.49404,11.39867,11.916149999999996,11.819440000000002
57,11.70072,11.60418,12.119579999999996,12.021760000000002
58,11.90613,11.80863,12.318709999999996,12.224080000000002
59,12.10835,12.01308,12.523159999999995,12.431720000000002
60,12.31077,12.22072,12.725429999999996,12.639310000000002
61,12.51415,12.42628,12.935309999999996,12.845940000000002
62,12.7188,12.63169,13.134339999999996,13.045070000000003
63,12.91778,12.83827,13.336659999999997,13.247390000000003
64,13.1201,13.04262,13.537909999999997,13.452950000000003
65,13.32455,13.24808,13.742359999999996,13.657400000000003
66,13.52793,13.45354,13.946909999999995,13.858650000000003
67,13.7302,13.65794,14.147099999999996,14.067410000000002
