Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),Unnamed: 8
0.628,5.09875,0.00585,1.86381,1.60628,0.02985,0.0,0.0,
0.629,5.0975,0.00502,1.76601,2.39108,0.02558,0.0,0.0,
0.63,5.0975,0.00523,1.907,0.54847,0.02665,0.0,0.0,
0.631,5.0975,0.00585,1.907,0.54847,0.02984,0.0,0.0,
0.632,5.09875,0.00585,1.74402,0.00407,0.02985,0.0,0.0,
0.633,5.10125,0.00669,2.06674,0.01304,0.03413,0.0,0.0,
0.634,5.09625,0.00502,1.35039,0.0163,0.02557,0.0,0.0,
0.635,5.1,0.00606,2.09363,1.75298,0.03093,0.0,0.0,
0.636,5.0975,0.00565,0.76362,1.34631,0.02878,0.0,0.0,
0.637,5.1,0.00502,1.94694,0.92987,0.02559,0.0,0.0,
0.638,5.09875,0.00565,1.4653,0.02119,0.02879,0.0,0.0,
0.639,5.10125,0.00565,2.21669,0.03423,0.0288,0.0,0.0,
0.64,5.10125,0.00502,2.02925,2.22647,0.0256,0.0,0.0,
0.641,5.09875,0.00502,2.1246,0.56314,0.02559,0.0,0.0,
0.642,5.10125,0.00565,2.1246,0.56314,0.0288,0.0,0.0,
0.643,5.09875,0.00523,2.56143,0.00163,0.02665,0.0,0.0,
0.644,5.09875,0.00544,2.29738,1.80759,0.02772,0.0,0.0,
0.645,5.1025,0.00627,2.21426,1.92332,0.03201,0.0,0.0,
0.646,5.10125,0.00523,3.11561,0.11572,0.02667,0.0,0.0,
0.647,5.09875,0.00627,2.06593,0.70902,0.03198,0.0,0.0,
0.648,5.10125,0.00523,2.7505,0.83778,0.02667,1e-05,0.0,
0.649,5.10125,0.00544,1.92576,1.10346,0.02773,1e-05,0.0,
0.65,5.1,0.00544,1.81737,0.00978,0.02773,1e-05,0.0,
0.651,5.09875,0.00585,3.10175,0.04482,0.02985,1e-05,0.0,
0.652,5.0975,0.00544,0.52158,1.95184,0.02771,1e-05,0.0,
0.653,5.09875,0.00606,0.52158,1.95184,0.03092,1e-05,0.0,
0.654,5.10125,0.00585,2.88743,2.52395,0.02987,1e-05,0.0,
0.655,5.10125,0.00439,1.6389,1.25342,0.0224,1e-05,0.0,
0.656,5.10125,0.00544,2.35036,0.06764,0.02773,1e-05,0.0,
0.657,5.10125,0.00585,2.20693,1.56555,0.02987,1e-05,0.0,
0.658,5.10125,0.00565,3.17756,0.3048,0.0288,1e-05,0.0,
0.659,5.09875,0.00565,1.35122,2.07409,0.02879,1e-05,0.0,
0.66,5.09875,0.00585,1.39767,0.92825,0.02985,1e-05,0.0,
0.661,5.10125,0.00502,1.14666,1.35448,0.0256,1e-05,0.0,
0.662,5.0975,0.00544,2.78311,2.84994,0.02771,1e-05,0.0,
0.663,5.1,0.00585,1.60956,1.44168,0.02986,1e-05,0.0,
0.664,5.10125,0.00502,1.60956,1.44168,0.0256,1e-05,0.0,
0.665,5.09875,0.00627,1.22167,1.19641,0.03198,1e-05,0.0,
0.666,5.09875,0.00544,1.27953,1.24204,0.02772,1e-05,0.0,
0.667,5.09875,0.00585,1.92256,2.28768,0.02985,1e-05,0.0,
0.668,5.09875,0.00585,1.19641,1.67073,0.02985,1e-05,0.0,
0.669,5.09875,0.00544,1.32273,0.02363,0.02772,1e-05,0.0,
0.67,5.1,0.00544,2.20699,0.82232,0.02773,1e-05,0.0,
0.671,5.1,0.00544,2.19477,0.49959,0.02773,1e-05,0.0,
0.672,5.0975,0.00606,1.62346,1.17685,0.03091,1e-05,0.0,
0.673,5.1,0.00565,1.34962,1.96739,0.02879,1e-05,0.0,
0.674,5.09875,0.00585,2.38955,2.65605,0.02985,1e-05,0.0,
0.675,5.09625,0.00523,2.38955,2.65605,0.02664,1e-05,0.0,
0.676,5.09875,0.00544,2.35957,0.00897,0.02772,1e-05,0.0,
0.677,5.09875,0.00544,1.41982,1.13292,0.02772,1e-05,0.0,
0.678,5.10125,0.00585,1.81756,1.28452,0.02987,1e-05,0.0,
0.679,5.09875,0.00565,3.06377,0.39937,0.02879,1e-05,0.0,
0.68,5.09875,0.00585,2.5348,2.89098,0.02985,1e-05,0.0,
0.681,5.1,0.00565,2.02703,0.73844,0.02879,1e-05,0.0,
0.682,5.1,0.00523,2.33593,0.01793,0.02666,1e-05,0.0,
0.683,5.1,0.00585,1.5869,0.64226,0.02986,1e-05,0.0,
0.684,5.10375,0.00585,1.90151,2.09142,0.02988,1e-05,0.0,
0.685,5.09875,0.00585,1.7711,0.00489,0.02985,1e-05,0.0,
0.686,5.09875,0.00585,1.7711,0.00489,0.02985,1e-05,0.0,
0.687,5.09625,0.00544,2.03844,1.13699,0.02771,1e-05,0.0,
0.688,5.09875,0.00544,1.0832,1.86646,0.02772,1e-05,0.0,
0.689,5.10125,0.00544,2.09468,0.91449,0.02773,1e-05,0.0,
0.69,5.09875,0.00565,2.10609,2.51687,0.02879,1e-05,0.0,
0.691,5.1,0.00544,1.41411,2.06941,0.02773,1e-05,0.0,
0.692,5.0975,0.00585,1.34646,0.01549,0.02984,1e-05,0.0,
0.693,5.1,0.00544,2.59756,2.69048,0.02773,1e-05,0.0,
0.694,5.1,0.00565,0.87862,1.33668,0.02879,1e-05,0.0,
0.695,5.1,0.00544,1.76295,1.2511,0.02773,1e-05,0.0,
0.696,5.1,0.00544,0.64633,1.33994,0.02773,1e-05,0.0,
0.697,5.09625,0.00544,0.64633,1.33994,0.02771,1e-05,0.0,
0.698,5.1,0.00544,1.34728,1.22502,0.02773,1e-05,0.0,
0.699,5.09875,0.00585,1.52496,0.02038,0.02985,1e-05,0.0,
0.7,5.10125,0.00606,0.70257,1.22258,0.03093,1e-05,0.0,
0.701,5.09875,0.00565,1.69612,1.74095,0.02879,1e-05,0.0,
0.702,5.10125,0.00502,1.80371,1.60728,0.0256,1e-05,0.0,
0.703,5.09875,0.00585,0.89737,1.89744,0.02985,1e-05,0.0,
0.704,5.09875,0.00523,2.65381,2.73531,0.02665,1e-05,0.0,
0.705,5.09875,0.00523,1.87462,0.63656,0.02665,1e-05,0.0,
0.706,5.1,0.00606,2.05148,2.2308,0.03093,1e-05,0.0,
0.707,5.1025,0.00544,3.09883,0.02119,0.02774,1e-05,0.0,
0.708,5.0975,0.00585,3.09883,0.02119,0.02984,1e-05,0.0,
0.709,5.1,0.00502,2.20961,1.12803,0.02559,1e-05,0.0,
0.71,5.0975,0.00544,2.78015,2.41989,0.02771,1e-05,0.0,
0.711,5.10125,0.00585,1.8298,1.52823,0.02987,1e-05,0.0,
0.712,5.10125,0.00544,1.07587,1.96346,0.02773,1e-05,0.0,
0.713,5.10125,0.00523,1.63581,1.2128,0.02667,1e-05,0.0,
0.714,5.1,0.00523,3.12573,0.2869,0.02666,1e-05,0.0,
0.715,5.09625,0.00606,2.50221,1.78415,0.0309,1e-05,0.0,
0.716,5.1,0.00544,2.36203,1.62277,0.02773,1e-05,0.0,
0.717,5.1,0.00544,3.11595,0.14752,0.02773,1e-05,0.0,
0.718,5.09875,0.00544,2.27726,0.11248,0.02772,1e-05,0.0,
0.719,5.0975,0.00544,2.27726,0.11248,0.02771,1e-05,0.0,
0.72,5.09875,0.00502,3.18854,0.00978,0.02559,1e-05,0.0,
0.721,5.095,0.00565,1.65214,1.15984,0.02876,1e-05,0.0,
0.722,5.095,0.00502,0.66672,1.23564,0.02557,1e-05,0.0,
0.723,5.09875,0.00502,1.31063,2.14933,0.02559,1e-05,0.0,
0.724,5.0975,0.00523,2.44194,2.73781,0.02665,1e-05,0.0,
0.725,5.09875,0.00565,2.12488,1.40354,0.02879,1e-05,0.0,
0.726,5.09875,0.00544,2.35554,2.67423,0.02772,1e-05,0.0,
0.727,5.09875,0.00439,3.0565,1.51765,0.02239,1e-05,0.0,
0.728,5.09875,0.00544,2.94809,0.15405,0.02772,1e-05,0.0,
0.729,5.09875,0.00565,2.08657,0.62923,0.02879,1e-05,0.0,
0.73,5.10125,0.00565,2.08657,0.62923,0.0288,1e-05,0.0,
0.731,5.10125,0.00565,3.10458,0.03912,0.0288,1e-05,0.0,
0.732,5.09875,0.00565,3.10458,0.03912,0.02879,1e-05,0.0,
0.733,5.0975,0.00585,2.0287,1.37909,0.02984,1e-05,0.0,
0.734,5.10125,0.00544,3.10295,0.01304,0.02773,1e-05,0.0,
0.735,5.09875,0.00544,1.67414,0.93896,0.02772,1e-05,0.0,
0.736,5.09875,0.00481,2.11428,0.47192,0.02452,1e-05,0.0,
0.737,5.09875,0.00544,0.72948,1.36116,0.02772,1e-05,0.0,
