Group,Run Time (s),Energy (Wh),Average Power (mW)
133MHz,177.043,0.037669999999999995,765.9834051614579
266MHz,107.12599999999998,0.02325,781.3229281406943
400MHz,102.39100000000002,0.02262,795.3042747897763
Standby,112.30899999999997,0.023430000000000006,751.0350906873007
