Group,Run Time (s),Energy (Wh),Average Power (mW)
133MHz,153.179,0.03338,784.4939580490799
266MHz,75.84800000000001,0.01734,823.0144499525366
400MHz,50.38099999999997,0.012090000000000004,863.8971040670101
Standby,113.68,0.023830000000000004,754.6446164672766
