Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),Unnamed: 8
7.618,5.0975,0.00941,3.1031,0.01549,0.04796,6e-05,1e-05,
7.619,5.095,0.02028,0.44912,1.80301,0.10334,6e-05,1e-05,
7.649,5.095,0.02886,1.9243,1.3114,0.14702,6e-05,1e-05,
7.65,5.095,0.03638,1.87133,0.99924,0.18537,6e-05,1e-05,
7.881,5.08875,0.03847,0.55106,1.94093,0.19579,7e-05,1e-05,
7.997,5.095,0.03513,1.72373,1.94052,0.17898,8e-05,2e-05,
38.024,5.0925,0.03597,1.32918,1.47424,0.18315,0.00157,0.00031,
58.142,5.0925,0.02927,1.84688,1.45647,0.14908,0.00256,0.0005,
