Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),Unnamed: 8
7.134,5.0975,0.01798,2.77308,2.58968,0.09167,6e-05,1e-05,
7.165,5.0925,0.03806,2.27012,0.88441,0.1938,6e-05,1e-05,
7.381,5.09,0.04663,2.12563,2.45817,0.23734,7e-05,1e-05,
7.395,5.0925,0.03806,1.85667,0.66345,0.1938,7e-05,1e-05,
37.532,5.09125,0.03973,1.47949,0.02771,0.20227,0.00149,0.00029,
67.532,5.095,0.03994,1.16562,1.34168,0.20348,0.00291,0.00057,
75.219,5.09625,0.02906,3.10496,0.02772,0.14812,0.00328,0.00064,
