Time(s),VBUS(V),IBUS(A),D+(V),D-(V),PBUS(W),Energy(Wh),Capacity(Ah),Unnamed: 8
7.689,5.09625,0.0161,2.1566,0.01141,0.08205,6e-05,1e-05,
7.69,5.09875,0.02091,2.16312,0.02527,0.10661,6e-05,1e-05,
7.72,5.0975,0.03764,2.17133,0.01467,0.19186,6e-05,1e-05,
7.936,5.0925,0.04349,1.7368,1.72865,0.22149,7e-05,1e-05,
7.951,5.09125,0.03931,0.93401,2.04733,0.20014,7e-05,1e-05,
38.087,5.095,0.03952,1.6075,1.11702,0.20135,0.00157,0.00031,
38.095,5.09125,0.03408,1.47062,2.04583,0.17353,0.00157,0.00031,
43.178,5.095,0.03116,2.63484,1.6373,0.15874,0.00183,0.00036,
